,bodysite,count
0,,51725
1,69536005,29818
2,43799004,21349
3,12738006,14408
4,80891009,12430
5,818981001,12020
6,45048000,10245
7,76752008,8521
8,85562004,3715
9,421060004,3474
10,66019005,2956
11,816092008,2303
12,122496007,1799
13,72696002,1704
14,10200004,1673
15,16982005,1109
16,56459004,1079
17,41216001,1011
18,70258002,880
19,122494005,839
20,16953009,664
21,64033007,595
22,24136001,539
23,15776009,356
24,74670003,209
25,51299004,171
26,1217257000,168
27,89546000,154
28,122495006,153
29,363654007,121
30,39607008,97
31,85050009,76
32,91609006,74
33,7569003,72
34,38266002,67
35,14975008,62
36,34402009,61
37,71341001,55
38,72410000,43
39,53840002,37
40,69105007,34
41,1217256009,26
42,818982008,22
43,54735007,21
44,45289007,20
45,774007,15
46,361078006,14
47,91470000,14
48,79601000,9
49,15825003,6
