,bodysite,count
0,,51099
1,69536005,29671
2,43799004,21728
3,12738006,13346
4,80891009,12556
5,818981001,12517
6,45048000,10271
7,76752008,9071
8,85562004,3657
9,421060004,3229
10,66019005,2642
11,816092008,2171
12,10200004,1802
13,122496007,1751
14,72696002,1625
15,16982005,1006
16,56459004,987
17,122494005,881
18,70258002,872
19,41216001,869
20,64033007,757
21,16953009,593
22,24136001,470
23,53840002,260
24,1217257000,186
25,74670003,180
26,38266002,178
27,51299004,172
28,39607008,164
29,122495006,161
30,818982008,136
31,15776009,102
32,89546000,100
33,71341001,90
34,363654007,87
35,14975008,76
36,85050009,75
37,7569003,73
38,91609006,68
39,15825003,37
40,72410000,24
41,69105007,23
42,54735007,20
43,34402009,20
44,1217256009,19
45,87953007,17
46,71854001,9
47,661005,7
48,91470000,5
