,bodysite,count
0,,37125
1,69536005,30037
2,43799004,21126
3,12738006,13674
4,80891009,12593
5,818981001,12188
6,45048000,10641
7,76752008,8281
8,85562004,3665
9,421060004,3310
10,66019005,2861
11,816092008,1994
12,122496007,1748
13,10200004,1656
14,72696002,1641
15,16982005,1209
16,56459004,1090
17,70258002,911
18,122494005,902
19,41216001,883
20,16953009,604
21,64033007,535
22,24136001,532
23,74670003,286
24,51299004,187
25,15776009,183
26,122495006,168
27,1217257000,158
28,39607008,142
29,363654007,132
30,53840002,119
31,7569003,114
32,818982008,102
33,89546000,97
34,38266002,95
35,71341001,89
36,34402009,86
37,91609006,82
38,85050009,76
39,14975008,53
40,72410000,44
41,15825003,43
42,69105007,27
43,1217256009,22
44,54735007,15
45,71854001,13
46,661005,9
47,89545001,8
48,76505004,8
49,361078006,6
50,71252005,6
51,28231008,5
